id,emotion,usage
180,2,Training
181,3,Training
182,2,Training
183,3,Training
184,4,Training
185,0,Training
186,2,Training
187,0,Training
188,3,Training
189,0,Training
190,2,Training
191,2,Training
192,5,Training
193,3,Training
194,5,Training
195,5,Training
196,4,Training
197,3,Training
198,0,Training
199,6,Training
200,5,Training
201,2,Training
202,6,Training
203,0,Training
204,0,Training
205,4,Training
206,5,Training
207,6,Training
208,3,Training
209,5,Training
210,5,Training
211,3,Training
212,2,Training
213,2,Training
214,3,Training
215,3,Training
216,3,Training
217,3,Training
218,6,Training
219,3,Training
220,6,Training
221,3,Training
222,0,Training
223,6,Training
224,3,Training
225,2,Training
226,0,Training
227,6,Training
228,5,Training
229,6,Training
230,0,Training
231,5,Training
232,4,Training
233,3,Training
234,0,Training
235,3,Training
236,0,Training
237,4,Training
238,5,Training
239,4,Training
240,3,Training
241,3,Training
242,0,Training
243,0,Training
244,6,Training
245,2,Training
246,0,Training
247,6,Training
248,3,Training
249,0,Training
250,0,Training
251,6,Training
252,0,Training
253,5,Training
254,6,Training
255,3,Training
256,2,Training
257,5,Training
258,5,Training
259,2,Training
260,0,Training
261,2,Training
262,6,Training
263,6,Training
264,0,Training
265,2,Training
266,3,Training
267,4,Training
268,2,Training
269,6,Training
270,5,Training
271,2,Training
272,2,Training
273,6,Training
274,6,Training
275,6,Training
276,2,Training
277,5,Training
278,3,Training
279,0,Training
280,5,Training
281,0,Training
282,4,Training
283,3,Training
284,3,Training
285,3,Training
286,3,Training
287,6,Training
288,3,Training
289,2,Training
290,4,Training
291,6,Training
292,3,Training
293,2,Training
294,4,Training
295,0,Training
296,0,Training
297,3,Training
298,2,Training
299,0,Training
300,1,Training
301,2,Training
302,2,Training
303,5,Training
304,3,Training
305,5,Training
306,4,Training
307,4,Training
308,0,Training
309,2,Training
310,3,Training
311,4,Training
312,6,Training
313,4,Training
314,2,Training
315,2,Training
316,3,Training
317,5,Training
318,4,Training
319,4,Training
320,5,Training
321,6,Training
322,4,Training
323,5,Training
324,0,Training
325,3,Training
326,3,Training
327,3,Training
328,2,Training
329,5,Training
330,5,Training
331,5,Training
332,3,Training
333,5,Training
334,3,Training
335,3,Training
336,3,Training
337,5,Training
338,6,Training
339,0,Training
340,4,Training
341,2,Training
342,2,Training
343,0,Training
344,4,Training
345,5,Training
346,5,Training
347,6,Training
348,6,Training
349,3,Training
350,2,Training
351,4,Training
352,2,Training
353,4,Training
354,0,Training
355,5,Training
356,0,Training
357,3,Training
358,5,Training
359,2,Training
360,4,Training
361,0,Training
362,4,Training
363,5,Training
364,6,Training
365,3,Training
366,2,Training
367,3,Training
368,5,Training
369,0,Training
370,0,Training
371,3,Training
372,3,Training
373,2,Training
374,6,Training
375,0,Training
376,2,Training
377,6,Training
378,0,Training
379,3,Training
380,2,Training
381,3,Training
382,2,Training
383,6,Training
384,4,Training
385,3,Training
386,4,Training
387,4,Training
388,0,Training
389,1,Training
390,2,Training
391,4,Training
392,6,Training
393,5,Training
394,0,Training
395,4,Training
396,6,Training
397,6,Training
398,6,Training
399,2,Training
400,6,Training
401,4,Training
402,3,Training
403,2,Training
404,4,Training
405,0,Training
406,6,Training
407,3,Training
408,2,Training
409,3,Training
410,0,Training
411,6,Training
412,5,Training
413,0,Training
414,5,Training
415,2,Training
416,6,Training
417,1,Training
418,3,Training
419,2,Training
420,6,Training
421,2,Training
422,0,Training
423,4,Training
424,6,Training
425,4,Training
426,5,Training
427,4,Training
428,4,Training
429,2,Training
430,0,Training
431,4,Training
432,0,Training
433,2,Training
434,0,Training
435,0,Training
436,5,Training
437,3,Training
438,3,Training
439,5,Training
440,3,Training
441,3,Training
442,4,Training
443,6,Training
444,5,Training
445,3,Training
446,3,Training
447,3,Training
448,4,Training
449,4,Training
450,6,Training
451,3,Training
452,4,Training
453,2,Training
454,3,Training
455,2,Training
456,2,Training
457,3,Training
458,4,Training
459,3,Training
460,6,Training
461,2,Training
462,6,Training
463,4,Training
464,3,Training
465,0,Training
466,3,Training
467,4,Training
468,6,Training
469,6,Training
470,0,Training
471,0,Training
472,5,Training
473,3,Training
474,1,Training
475,2,Training
476,4,Training
477,2,Training
478,2,Training
479,3,Training
480,2,Training
481,5,Training
482,0,Training
483,6,Training
484,2,Training
485,4,Training
486,3,Training
487,2,Training
488,3,Training
489,5,Training
490,0,Training
491,6,Training
492,6,Training
493,5,Training
494,6,Training
495,5,Training
496,3,Training
497,0,Training
498,5,Training
499,6,Training
500,0,Training
501,2,Training
502,6,Training
503,6,Training
504,6,Training
505,2,Training
506,4,Training
507,6,Training
508,2,Training
509,6,Training
510,0,Training
511,5,Training
512,3,Training
513,3,Training
514,4,Training
515,4,Training
516,0,Training
517,0,Training
518,2,Training
519,5,Training
520,0,Training
521,6,Training
522,0,Training
523,6,Training
524,5,Training
525,4,Training
526,0,Training
527,0,Training
528,3,Training
529,5,Training
530,5,Training
531,4,Training
532,3,Training
533,3,Training
534,1,Training
535,4,Training
536,6,Training
537,6,Training
538,3,Training
539,2,Training
540,3,Training
541,3,Training
542,6,Training
543,6,Training
544,4,Training
545,6,Training
546,0,Training
547,2,Training
548,6,Training
549,5,Training
550,4,Training
551,2,Training
552,6,Training
553,6,Training
554,3,Training
555,5,Training
556,6,Training
557,4,Training
558,6,Training
559,0,Training
560,4,Training
561,2,Training
562,3,Training
563,3,Training
564,0,Training
565,0,Training
566,6,Training
567,2,Training
568,6,Training
569,3,Training
570,3,Training
571,6,Training
572,5,Training
573,3,Training
574,1,Training
575,3,Training
576,2,Training
577,2,Training
578,4,Training
579,2,Training
580,2,Training
581,4,Training
582,0,Training
583,3,Training
584,5,Training
585,6,Training
586,3,Training
587,3,Training
588,2,Training
589,3,Training
590,0,Training
591,4,Training
592,2,Training
593,6,Training
594,2,Training
595,3,Training
596,5,Training
597,6,Training
598,2,Training
599,4,Training
600,2,Training
601,2,Training
602,6,Training
603,6,Training
604,4,Training
605,6,Training
606,6,Training
607,3,Training
608,4,Training
609,0,Training
610,3,Training
611,4,Training
612,4,Training
613,0,Training
614,3,Training
615,4,Training
616,6,Training
617,4,Training
618,0,Training
619,4,Training
620,6,Training
621,3,Training
622,5,Training
623,2,Training
624,3,Training
625,0,Training
626,0,Training
627,3,Training
628,6,Training
629,3,Training
630,3,Training
631,6,Training
632,4,Training
633,5,Training
634,0,Training
635,2,Training
636,3,Training
637,0,Training
638,3,Training
639,5,Training
640,3,Training
641,4,Training
642,3,Training
643,4,Training
644,6,Training
645,6,Training
646,3,Training
647,4,Training
648,5,Training
649,3,Training
650,6,Training
651,4,Training
652,6,Training
653,5,Training
654,3,Training
655,0,Training
656,3,Training
657,2,Training
658,3,Training
659,3,Training
660,3,Training
661,5,Training
662,5,Training
663,6,Training
664,2,Training
665,3,Training
666,0,Training
667,3,Training
668,3,Training
669,3,Training
670,2,Training
671,5,Training
672,0,Training
673,6,Training
674,6,Training
675,3,Training
676,5,Training
677,0,Training
678,0,Training
679,3,Training
680,6,Training
681,4,Training
682,3,Training
683,3,Training
684,5,Training
685,3,Training
686,3,Training
687,5,Training
688,3,Training
689,4,Training
690,2,Training
691,3,Training
692,3,Training
693,5,Training
694,3,Training
695,6,Training
696,5,Training
697,4,Training
698,4,Training
699,5,Training
700,6,Training
701,0,Training
702,2,Training
703,2,Training
704,4,Training
705,0,Training
706,6,Training
707,3,Training
708,2,Training
709,5,Training
710,2,Training
711,2,Training
712,4,Training
713,2,Training
714,3,Training
715,0,Training
716,6,Training
717,0,Training
718,6,Training
719,2,Training
720,5,Training
721,3,Training
722,3,Training
723,3,Training
724,2,Training
725,3,Training
726,6,Training
727,5,Training
728,0,Training
729,3,Training
730,2,Training
731,4,Training
732,2,Training
733,6,Training
734,4,Training
735,3,Training
736,4,Training
737,3,Training
738,3,Training
739,3,Training
740,2,Training
741,0,Training
742,2,Training
743,5,Training
744,0,Training
745,2,Training
746,2,Training
747,2,Training
748,6,Training
749,2,Training
750,4,Training
751,5,Training
752,5,Training
753,4,Training
754,4,Training
755,4,Training
756,2,Training
757,0,Training
758,6,Training
759,1,Training
760,5,Training
761,3,Training
762,4,Training
763,6,Training
764,5,Training
765,0,Training
766,0,Training
767,6,Training
768,6,Training
769,2,Training
770,2,Training
771,4,Training
772,5,Training
773,6,Training
774,2,Training
775,3,Training
776,3,Training
777,4,Training
778,5,Training
779,0,Training
780,4,Training
781,3,Training
782,6,Training
783,4,Training
784,5,Training
785,5,Training
786,6,Training
787,3,Training
788,6,Training
789,5,Training
790,5,Training
791,0,Training
792,3,Training
793,3,Training
794,6,Training
795,2,Training
796,6,Training
797,5,Training
798,0,Training
799,4,Training
800,2,Training
801,4,Training
802,6,Training
803,3,Training
804,3,Training
805,2,Training
806,4,Training
807,2,Training
808,1,Training
809,4,Training
810,3,Training
811,3,Training
812,2,Training
813,4,Training
814,3,Training
815,5,Training
816,2,Training
817,0,Training
818,3,Training
819,4,Training
820,5,Training
821,3,Training
822,3,Training
823,4,Training
824,0,Training
825,0,Training
826,2,Training
827,1,Training
828,3,Training
829,4,Training
830,3,Training
831,3,Training
832,4,Training
833,6,Training
834,2,Training
835,0,Training
836,0,Training
837,2,Training
838,5,Training
839,6,Training
840,4,Training
841,3,Training
842,6,Training
843,0,Training
844,5,Training
845,4,Training
846,1,Training
847,2,Training
848,2,Training
849,5,Training
850,3,Training
851,0,Training
852,0,Training
853,6,Training
854,5,Training
855,0,Training
856,6,Training
857,3,Training
858,5,Training
859,6,Training
860,2,Training
861,0,Training
862,0,Training
863,2,Training
864,3,Training
865,1,Training
866,5,Training
867,4,Training
868,5,Training
869,5,Training
870,2,Training
871,3,Training
872,2,Training
873,2,Training
874,3,Training
875,6,Training
876,6,Training
877,0,Training
878,6,Training
879,4,Training
880,0,Training
881,3,Training
882,0,Training
883,4,Training
884,0,Training
885,6,Training
886,6,Training
887,2,Training
888,3,Training
889,5,Training
890,4,Training
891,2,Training
892,6,Training
893,3,Training
894,5,Training
895,5,Training
896,3,Training
897,2,Training
898,3,Training
899,3,Training
900,4,Training
901,0,Training
902,6,Training
903,4,Training
904,4,Training
905,2,Training
906,6,Training
907,3,Training
908,2,Training
909,0,Training
910,5,Training
911,4,Training
912,2,Training
913,6,Training
914,6,Training
915,2,Training
916,3,Training
917,6,Training
918,6,Training
919,4,Training
920,6,Training
921,2,Training
922,3,Training
923,4,Training
924,0,Training
925,2,Training
926,6,Training
927,3,Training
928,4,Training
929,0,Training
930,4,Training
931,6,Training
932,6,Training
933,0,Training
934,4,Training
935,4,Training
936,0,Training
937,6,Training
938,6,Training
939,0,Training
940,4,Training
941,2,Training
942,2,Training
943,3,Training
944,3,Training
945,4,Training
946,6,Training
947,0,Training
948,5,Training
949,3,Training
950,2,Training
951,0,Training
952,3,Training
953,6,Training
954,4,Training
955,2,Training
956,4,Training
957,6,Training
958,4,Training
959,6,Training
960,2,Training
961,5,Training
962,0,Training
963,0,Training
964,0,Training
965,5,Training
966,0,Training
967,0,Training
968,6,Training
969,3,Training
970,3,Training
971,6,Training
972,0,Training
973,5,Training
974,3,Training
975,0,Training
976,6,Training
977,4,Training
978,4,Training
979,2,Training
980,6,Training
981,0,Training
982,3,Training
983,2,Training
984,2,Training
985,3,Training
986,0,Training
987,4,Training
988,4,Training
989,4,Training
990,6,Training
991,4,Training
992,6,Training
993,6,Training
994,5,Training
995,2,Training
996,3,Training
997,6,Training
998,3,Training
999,0,Training
1000,6,Training
1001,6,Training
1002,4,Training
1003,6,Training
1004,4,Training
1005,3,Training
1006,4,Training
1007,3,Training
1008,4,Training
1009,2,Training
1010,4,Training
1011,4,Training
1012,4,Training
1013,3,Training
1014,2,Training
1015,3,Training
1016,0,Training
1017,0,Training
1018,3,Training
1019,0,Training
1020,4,Training
1021,3,Training
1022,6,Training
1023,4,Training
1024,3,Training
1025,0,Training
1026,2,Training
1027,4,Training
1028,3,Training
1029,5,Training
1030,3,Training
1031,4,Training
1032,4,Training
1033,3,Training
1034,5,Training
1035,2,Training
1036,4,Training
1037,2,Training
1038,6,Training
1039,3,Training
1040,0,Training
1041,5,Training
1042,4,Training
1043,5,Training
1044,5,Training
1045,3,Training
1046,6,Training
1047,3,Training
1048,3,Training
1049,3,Training
1050,3,Training
1051,5,Training
1052,0,Training
1053,3,Training
1054,3,Training
1055,6,Training
1056,4,Training
1057,3,Training
1058,3,Training
1059,3,Training
1060,5,Training
1061,6,Training
1062,0,Training
1063,6,Training
1064,2,Training
1065,2,Training
1066,3,Training
1067,0,Training
1068,4,Training
1069,6,Training
1070,4,Training
1071,5,Training
1072,0,Training
1073,3,Training
1074,1,Training
1075,3,Training
1076,2,Training
1077,3,Training
1078,3,Training
1079,4,Training
1080,2,Training
1081,6,Training
1082,3,Training
1083,3,Training
1084,3,Training
1085,5,Training
1086,3,Training
1087,2,Training
1088,5,Training
1089,3,Training
1090,2,Training
1091,0,Training
1092,4,Training
1093,2,Training
1094,6,Training
1095,6,Training
1096,3,Training
1097,1,Training
1098,3,Training
1099,0,Training
1100,3,Training
1101,2,Training
1102,6,Training
1103,0,Training
1104,3,Training
1105,2,Training
1106,0,Training
1107,0,Training
1108,5,Training
1109,0,Training
1110,5,Training
1111,6,Training
1112,3,Training
1113,4,Training
1114,3,Training
1115,6,Training
1116,1,Training
1117,2,Training
1118,3,Training
1119,5,Training
1120,6,Training
1121,5,Training
1122,3,Training
1123,0,Training
1124,0,Training
1125,0,Training
1126,4,Training
1127,6,Training
1128,0,Training
1129,2,Training
1130,4,Training
1131,3,Training
1132,3,Training
1133,5,Training
1134,2,Training
1135,4,Training
1136,5,Training
1137,6,Training
1138,2,Training
1139,4,Training
1140,4,Training
1141,3,Training
1142,3,Training
1143,6,Training
1144,2,Training
1145,4,Training
1146,5,Training
1147,3,Training
1148,0,Training
1149,4,Training
1150,3,Training
1151,0,Training
1152,3,Training
1153,3,Training
1154,4,Training
1155,2,Training
1156,3,Training
1157,4,Training
1158,5,Training
1159,0,Training
1160,3,Training
1161,0,Training
1162,6,Training
1163,5,Training
1164,2,Training
1165,3,Training
1166,3,Training
1167,0,Training
1168,3,Training
1169,0,Training
1170,2,Training
1171,0,Training
1172,2,Training
1173,5,Training
1174,4,Training
1175,3,Training
1176,4,Training
1177,5,Training
1178,0,Training
1179,0,Training
1180,6,Training
1181,3,Training
1182,0,Training
1183,3,Training
1184,6,Training
1185,4,Training
1186,5,Training
1187,3,Training
1188,3,Training
1189,4,Training
1190,6,Training
1191,3,Training
1192,4,Training
1193,0,Training
1194,2,Training
1195,0,Training
1196,6,Training
1197,3,Training
1198,3,Training
1199,4,Training
1200,6,Training
1201,0,Training
1202,5,Training
1203,3,Training
1204,3,Training
1205,0,Training
1206,3,Training
1207,6,Training
1208,4,Training
1209,4,Training
1210,3,Training
1211,0,Training
1212,0,Training
1213,3,Training
1214,0,Training
1215,5,Training
1216,0,Training
1217,0,Training
1218,3,Training
1219,6,Training
1220,3,Training
1221,6,Training
1222,0,Training
1223,6,Training
1224,4,Training
1225,5,Training
1226,0,Training
1227,0,Training
1228,6,Training
1229,2,Training
1230,4,Training
1231,6,Training
1232,2,Training
1233,5,Training
1234,0,Training
1235,4,Training
1236,0,Training
1237,6,Training
1238,3,Training
1239,2,Training
1240,5,Training
1241,2,Training
1242,3,Training
1243,0,Training
1244,4,Training
1245,2,Training
1246,6,Training
1247,3,Training
1248,4,Training
1249,6,Training
1250,5,Training
1251,0,Training
1252,6,Training
1253,0,Training
1254,2,Training
1255,3,Training
1256,0,Training
1257,6,Training
1258,3,Training
1259,3,Training
1260,6,Training
1261,3,Training
1262,5,Training
1263,3,Training
1264,4,Training
1265,4,Training
1266,1,Training
1267,3,Training
1268,0,Training
1269,0,Training
1270,3,Training
1271,1,Training
1272,6,Training
1273,3,Training
1274,2,Training
1275,2,Training
1276,3,Training
1277,4,Training
1278,6,Training
1279,5,Training
1280,6,Training
1281,6,Training
1282,4,Training
1283,3,Training
1284,3,Training
1285,6,Training
1286,3,Training
1287,6,Training
1288,4,Training
1289,3,Training
1290,5,Training
1291,6,Training
1292,5,Training
1293,6,Training
1294,4,Training
1295,4,Training
1296,3,Training
1297,6,Training
1298,3,Training
1299,4,Training
1300,0,Training
1301,6,Training
1302,2,Training
1303,2,Training
1304,6,Training
1305,6,Training
1306,2,Training
1307,6,Training
1308,4,Training
1309,0,Training
1310,3,Training
1311,1,Training
1312,0,Training
1313,4,Training
1314,6,Training
1315,4,Training
1316,4,Training
1317,3,Training
1318,0,Training
1319,5,Training
1320,3,Training
1321,5,Training
1322,2,Training
1323,2,Training
1324,6,Training
1325,6,Training
1326,2,Training
1327,3,Training
1328,5,Training
1329,6,Training
1330,4,Training
1331,3,Training
1332,4,Training
1333,2,Training
1334,6,Training
1335,3,Training
1336,3,Training
1337,6,Training
1338,4,Training
1339,0,Training
1340,6,Training
1341,0,Training
1342,3,Training
1343,2,Training
1344,2,Training
1345,6,Training
1346,2,Training
1347,2,Training
1348,6,Training
1349,4,Training
1350,0,Training
1351,0,Training
1352,2,Training
1353,6,Training
1354,4,Training
1355,3,Training
1356,3,Training
1357,4,Training
1358,6,Training
1359,0,Training
1360,5,Training
1361,3,Training
1362,4,Training
1363,4,Training
1364,3,Training
1365,4,Training
1366,0,Training
1367,2,Training
1368,2,Training
1369,3,Training
1370,5,Training
1371,0,Training
1372,3,Training
1373,0,Training
1374,0,Training
1375,0,Training
1376,0,Training
1377,5,Training
1378,2,Training
1379,3,Training
1380,5,Training
1381,3,Training
1382,3,Training
1383,4,Training
1384,6,Training
1385,0,Training
1386,3,Training
1387,0,Training
1388,3,Training
1389,3,Training
1390,2,Training
1391,2,Training
1392,4,Training
1393,0,Training
1394,0,Training
1395,3,Training
1396,3,Training
1397,0,Training
1398,0,Training
1399,2,Training
1400,5,Training
1401,5,Training
1402,2,Training
1403,5,Training
1404,5,Training
1405,3,Training
1406,4,Training
1407,3,Training
1408,6,Training
1409,4,Training
1410,3,Training
1411,2,Training
1412,6,Training
1413,0,Training
1414,0,Training
1415,6,Training
1416,6,Training
1417,6,Training
1418,6,Training
1419,3,Training
1420,3,Training
1421,4,Training
1422,3,Training
1423,0,Training
1424,6,Training
1425,6,Training
1426,3,Training
1427,3,Training
1428,6,Training
1429,3,Training
1430,2,Training
1431,5,Training
1432,2,Training
1433,3,Training
1434,6,Training
1435,6,Training
1436,3,Training
1437,2,Training
1438,2,Training
1439,0,Training
1440,6,Training
1441,3,Training
1442,2,Training
1443,3,Training
1444,0,Training
1445,0,Training
1446,6,Training
1447,4,Training
1448,3,Training
1449,0,Training
1450,5,Training
1451,0,Training
1452,5,Training
1453,4,Training
1454,0,Training
1455,3,Training
1456,4,Training
1457,2,Training
1458,5,Training
1459,2,Training
1460,3,Training
1461,0,Training
1462,4,Training
1463,0,Training
1464,4,Training
1465,5,Training
1466,2,Training
1467,2,Training
1468,5,Training
1469,0,Training
1470,2,Training
1471,6,Training
1472,2,Training
1473,6,Training
1474,4,Training
1475,2,Training
1476,3,Training
1477,3,Training
1478,0,Training
1479,3,Training
1480,2,Training
1481,2,Training
1482,4,Training
1483,4,Training
1484,0,Training
1485,3,Training
1486,2,Training
1487,4,Training
1488,3,Training
1489,3,Training
1490,5,Training
1491,0,Training
1492,3,Training
1493,2,Training
1494,6,Training
1495,4,Training
1496,5,Training
1497,2,Training
1498,3,Training
1499,2,Training
1500,3,Training
1501,6,Training
1502,6,Training
1503,3,Training
1504,6,Training
1505,3,Training
1506,2,Training
1507,2,Training
1508,3,Training
1509,0,Training
1510,2,Training
1511,4,Training
1512,4,Training
1513,3,Training
1514,0,Training
1515,5,Training
1516,5,Training
1517,3,Training
1518,3,Training
1519,5,Training
1520,6,Training
1521,0,Training
1522,4,Training
1523,0,Training
1524,3,Training
1525,3,Training
1526,3,Training
1527,4,Training
1528,3,Training
1529,5,Training
1530,2,Training
1531,2,Training
1532,4,Training
1533,4,Training
1534,0,Training
1535,2,Training
1536,5,Training
1537,4,Training
1538,3,Training
1539,3,Training
1540,3,Training
1541,3,Training
1542,3,Training
1543,1,Training
1544,3,Training
1545,2,Training
1546,3,Training
1547,6,Training
1548,3,Training
1549,3,Training
1550,4,Training
1551,3,Training
1552,2,Training
1553,5,Training
1554,6,Training
1555,2,Training
1556,0,Training
1557,0,Training
1558,4,Training
1559,0,Training
1560,4,Training
1561,4,Training
1562,4,Training
1563,4,Training
1564,4,Training
1565,0,Training
1566,6,Training
1567,4,Training
1568,2,Training
1569,3,Training
1570,6,Training
1571,3,Training
1572,6,Training
1573,6,Training
1574,4,Training
1575,5,Training
1576,0,Training
1577,2,Training
1578,2,Training
1579,6,Training
1580,3,Training
1581,4,Training
1582,3,Training
1583,0,Training
1584,5,Training
1585,0,Training
1586,3,Training
1587,0,Training
1588,0,Training
1589,0,Training
1590,2,Training
1591,6,Training
1592,3,Training
1593,4,Training
1594,0,Training
1595,2,Training
1596,0,Training
1597,6,Training
1598,0,Training
1599,4,Training
1600,2,Training
1601,3,Training
1602,2,Training
1603,4,Training
1604,3,Training
1605,4,Training
1606,2,Training
1607,2,Training
1608,6,Training
1609,2,Training
1610,4,Training
1611,0,Training
1612,6,Training
1613,4,Training
1614,3,Training
1615,2,Training
1616,5,Training
1617,3,Training
1618,5,Training
1619,6,Training
1620,1,Training
1621,4,Training
1622,4,Training
1623,3,Training
1624,3,Training
1625,2,Training
1626,3,Training
1627,4,Training
1628,3,Training
1629,3,Training
1630,6,Training
1631,3,Training
1632,0,Training
1633,2,Training
1634,4,Training
1635,2,Training
1636,4,Training
1637,6,Training
1638,6,Training
1639,6,Training
1640,0,Training
1641,3,Training
1642,0,Training
1643,3,Training
1644,3,Training
1645,3,Training
1646,4,Training
1647,4,Training
1648,0,Training
1649,4,Training
1650,6,Training
1651,5,Training
1652,0,Training
1653,6,Training
1654,5,Training
1655,2,Training
1656,3,Training
1657,6,Training
1658,2,Training
1659,6,Training
1660,6,Training
1661,2,Training
1662,1,Training
1663,3,Training
1664,6,Training
1665,3,Training
1666,5,Training
1667,5,Training
1668,2,Training
1669,0,Training
1670,6,Training
1671,3,Training
1672,6,Training
1673,0,Training
1674,3,Training
1675,0,Training
1676,6,Training
1677,3,Training
1678,3,Training
1679,4,Training
1680,3,Training
1681,3,Training
1682,5,Training
1683,3,Training
1684,6,Training
1685,3,Training
1686,6,Training
1687,4,Training
1688,3,Training
1689,6,Training
1690,3,Training
1691,3,Training
1692,6,Training
1693,6,Training
1694,4,Training
1695,0,Training
1696,6,Training
1697,3,Training
1698,3,Training
1699,3,Training
1700,3,Training
1701,6,Training
1702,5,Training
1703,6,Training
1704,2,Training
1705,3,Training
1706,4,Training
1707,4,Training
1708,3,Training
1709,3,Training
1710,6,Training
1711,5,Training
1712,0,Training
1713,4,Training
1714,4,Training
1715,6,Training
1716,4,Training
1717,6,Training
1718,0,Training
1719,4,Training
1720,5,Training
1721,2,Training
1722,2,Training
1723,2,Training
1724,6,Training
1725,4,Training
1726,5,Training
1727,0,Training
1728,2,Training
1729,2,Training
1730,4,Training
1731,2,Training
1732,0,Training
1733,3,Training
1734,6,Training
1735,0,Training
1736,5,Training
1737,0,Training
1738,6,Training
1739,6,Training
1740,3,Training
1741,3,Training
1742,2,Training
1743,4,Training
1744,2,Training
1745,6,Training
1746,6,Training
1747,3,Training
1748,4,Training
1749,5,Training
1750,3,Training
1751,5,Training
1752,4,Training
1753,2,Training
1754,6,Training
1755,6,Training
1756,3,Training
1757,2,Training
1758,5,Training
1759,4,Training
1760,6,Training
1761,3,Training
1762,2,Training
1763,3,Training
1764,3,Training
1765,5,Training
1766,3,Training
1767,0,Training
1768,5,Training
1769,3,Training
1770,4,Training
1771,3,Training
1772,2,Training
1773,4,Training
1774,3,Training
1775,6,Training
1776,3,Training
1777,0,Training
1778,1,Training
1779,4,Training
1780,6,Training
1781,2,Training
1782,3,Training
1783,3,Training
1784,6,Training
1785,6,Training
1786,6,Training
1787,3,Training
1788,3,Training
1789,4,Training
1790,3,Training
1791,0,Training
1792,2,Training
1793,5,Training
1794,3,Training
1795,0,Training
1796,2,Training
1797,2,Training
1798,5,Training
1799,2,Training
1800,2,Training
1801,5,Training
1802,3,Training
1803,0,Training
1804,2,Training
1805,3,Training
1806,3,Training
1807,0,Training
1808,5,Training
1809,3,Training
1810,3,Training
1811,0,Training
1812,4,Training
1813,4,Training
1814,3,Training
1815,2,Training
1816,3,Training
1817,3,Training
1818,6,Training
1819,3,Training
1820,6,Training
1821,2,Training
1822,3,Training
1823,5,Training
1824,5,Training
1825,5,Training
1826,0,Training
1827,3,Training
1828,2,Training
1829,3,Training
1830,2,Training
1831,6,Training
1832,6,Training
1833,3,Training
1834,3,Training
1835,4,Training
1836,6,Training
1837,5,Training
1838,2,Training
1839,2,Training
1840,4,Training
1841,6,Training
1842,0,Training
1843,3,Training
1844,1,Training
1845,4,Training
1846,3,Training
1847,4,Training
1848,0,Training
1849,3,Training
1850,0,Training
1851,3,Training
1852,4,Training
1853,4,Training
1854,3,Training
1855,4,Training
1856,5,Training
1857,0,Training
1858,2,Training
1859,6,Training
1860,5,Training
1861,3,Training
1862,3,Training
1863,6,Training
1864,0,Training
1865,5,Training
1866,4,Training
1867,3,Training
1868,6,Training
1869,2,Training
1870,3,Training
1871,3,Training
1872,6,Training
